# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-a" "Saccharomyces_cerevisiae.R64-1-1.gtf" "-o" "gene_counts.txt" "SRR636637_sorted.bam" "SRR636636_sorted.bam" "SRR636635_sorted.bam" "SRR636633_sorted.bam" "SRR636638_sorted.bam" "SRR636634_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR636637_sorted.bam	SRR636636_sorted.bam	SRR636635_sorted.bam	SRR636633_sorted.bam	SRR636638_sorted.bam	SRR636634_sorted.bam
YDL246C	IV	8683	9756	-	1074	35	31	1	5	23	4
YDL243C	IV	17577	18566	-	990	18692	29102	240	285	14673	194
YDR387C	IV	1248154	1249821	-	1668	3007	4181	965	1025	2444	883
YDL094C	IV	289572	290081	-	510	60	96	104	99	59	72
YDR438W	IV	1338274	1339386	+	1113	539	667	425	501	403	402
YDR523C	IV	1485566	1487038	-	1473	18	26	48	70	12	34
YDR542W	IV	1523249	1523611	+	363	2	2	0	0	0	1
YDR492W	IV	1434924	1435874	+	951	298	257	1741	1580	314	1751
YDR018C	IV	482670	483860	-	1191	120	198	14	22	110	21
YDL189W	IV	122216	123589	+	1374	830	480	772	1064	841	807
YDR508C	IV	1466453	1468444	-	1992	1525	1948	6175	6501	907	5560
YDR462W	IV	1386073	1386516	+	444	389	805	160	210	344	191
YDR175C	IV	813193	814152	-	960	780	1158	436	511	788	427
YDR186C	IV	832859	835492	-	2634	2286	841	1421	1305	2280	1636
YDR150W	IV	755628	763874	+	8247	1125	1325	1741	2166	1002	1656
YDR243C	IV	948518	950284	-	1767	297	345	349	446	293	387
YDL182W	IV	133437	134723	+	1287	13311	15375	2486	2486	11721	2027
YDR362C	IV	1196679	1198697	-	2019	788	862	515	640	696	589
YDR232W	IV	927452	929098	+	1647	1250	1100	3227	3398	1229	2911
YDR158W	IV	770357	771454	+	1098	19303	16996	12641	12216	18527	11295
YDR439W	IV	1339676	1340719	+	1044	337	385	271	383	297	267
YDL206W	IV	90176	92464	+	2289	1047	959	363	386	824	400
YDR125C	IV	701397	702758	-	1362	297	378	120	160	262	106
YDR338C	IV	1147379	1149466	-	2088	981	775	487	501	876	591
YDR526C	IV	1491075	1491545	-	471	0	0	2	0	1	3
YDR533C	IV	1501447	1502160	-	714	9273	12856	245	278	9274	235
YDR272W	IV	1009010	1009834	+	825	1607	1634	564	769	1725	566
YDR197W	IV	851228	852397	+	1170	427	439	253	288	443	305
YDR512C	IV	1470500	1471063	-	564	945	996	226	273	925	221
YDR489W	IV	1431012	1431896	+	885	344	507	338	421	315	364
YDR299W	IV	1059627	1061231	+	1605	144	60	1027	1760	186	1330
YDL015C	IV	426002	426934	-	933	6929	8234	7104	7107	5311	6215
YDR304C	IV	1071880	1072557	-	678	7364	9616	4581	4113	6287	3778
YDR271C	IV	1008395	1008766	-	372	2	1	0	2	2	0
YDL181W	IV	135179	135436	+	258	972	770	97	94	936	88
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	957	1187	1067	1156	921	936
YDR085C	IV	614288	616150	-	1863	658	880	289	302	702	256
YDL097C	IV	285391	286695	-	1305	6362	7848	2198	2647	6176	2217
YDL139C	IV	211375	212046	-	672	126	117	53	85	115	69
YDR200C	IV	854279	856093	-	1815	481	61	224	306	463	265
YDR191W	IV	842337	843449	+	1113	112	141	99	125	106	89
YDR451C	IV	1361120	1362181	-	1062	376	500	649	619	286	697
YDR469W	IV	1399015	1399542	+	528	296	117	259	404	324	323
YDR470C	IV	1399706	1401214	-	1509	708	793	428	453	565	405
YDR105C	IV	665349	666770	-	1422	2566	3241	1423	1297	1938	1279
YDR483W	IV	1421157	1422485	+	1329	5363	6327	7184	6581	5101	6048
YDL123W	IV	241418	241840	+	423	1169	1675	643	625	956	534
YDL199C	IV	101290	103353	-	2064	654	729	177	160	593	171
YDR505C	IV	1456695	1459220	-	2526	1904	1551	845	842	1699	659
YDL045W-A	IV	372248	372535	+	288	581	429	217	335	499	301
YDL045C	IV	372688	373608	-	921	1277	1781	442	491	1325	436
YDR361C	IV	1195412	1196263	-	852	268	292	1500	2066	324	1527
YDR406W-A	IV	1283799	1284044	+	246	13	14	15	3	16	7
YDR199W	IV	854175	854540	+	366	11	7	9	10	18	10
YDR266C	IV	1000104	1002023	-	1920	1094	947	1344	1442	1073	1458
YDL242W	IV	18959	19312	+	354	166	224	47	56	120	35
YDR002W	IV	453045	453650	+	606	6240	7452	5368	6925	7184	5426
YDR214W	IV	892875	893927	+	1053	3698	4028	2156	2055	3800	1923
YDR130C	IV	715747	716622	-	876	292	308	217	335	318	213
YDL176W	IV	142097	144223	+	2127	508	288	545	589	465	496
YDR358W	IV	1190059	1191732	+	1674	2095	1333	125	199	2092	176
YDR544C	IV	1525095	1525523	-	429	0	1	0	0	0	0
YDR460W	IV	1383811	1384776	+	966	438	489	248	326	460	210
snR84	IV	1492477	1493026	-	550	200	164	252	317	150	229
YDR034W-B	IV	521314	521469	+	156	95	73	15	13	91	16
YDL028C	IV	400997	403291	-	2295	484	448	413	495	500	431
YDR061W	IV	574164	575783	+	1620	7113	5405	566	606	6572	601
YDR060W	IV	570649	573726	+	3078	289	148	2890	4443	266	3951
YDR169C-A	IV	794574	794723	-	150	8	14	6	6	16	5
YDR363W	IV	1199183	1200553	+	1371	517	473	299	398	507	343
YDR422C	IV	1315326	1317773	-	2448	1494	2058	1328	1345	1543	1185
YDR119W	IV	688227	690533	+	2307	842	968	4504	4287	646	3996
tR(ACG)D	IV	619969	620041	-	73	0	2	3	3	3	2
YDR097C	IV	640109	643837	-	3729	863	1109	1067	1451	650	1143
YDR042C	IV	540601	541203	-	603	195	122	33	48	184	41
YDL160C	IV	170410	171930	-	1521	1592	885	1331	1140	1694	1318
YDR425W	IV	1320064	1321941	+	1878	620	332	186	151	649	188
snR13	IV	1402919	1403042	+	124	31	9	11	6	28	5
YDR228C	IV	921926	923806	-	1881	604	557	568	749	507	636
YDR319C	IV	1105003	1105827	-	825	1137	1114	469	540	932	474
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	1238	787	10163	10844	1260	10829
YDR089W	IV	622112	624721	+	2610	564	826	1051	1135	432	932
tD(GUC)D	IV	568964	569035	+	72	1	0	0	1	0	0
YDR275W	IV	1012252	1012959	+	708	163	72	344	366	188	442
YDR043C	IV	542674	543369	-	696	501	440	112	111	411	144
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	10155	14716	4380	4371	9756	3957
YDR136C	IV	727711	728283	-	573	14	19	11	12	15	12
YDL066W	IV	334835	336121	+	1287	4270	3981	2751	2564	4203	2306
YDR302W	IV	1067731	1068390	+	660	457	386	710	728	469	598
YDR239C	IV	941057	943420	-	2364	436	742	651	751	371	556
YDR539W	IV	1512094	1513605	+	1512	1299	1637	826	861	1130	856
tK(CUU)D1	IV	1201750	1201822	+	73	0	0	0	1	0	1
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	3468	4302	3014	2955	2821	2685
YDR493W	IV	1436217	1436588	+	372	354	544	174	168	287	186
YDR101C	IV	655686	657467	-	1782	205	169	4256	4250	164	4331
YDR182W-A	IV	829151	829354	+	204	38	42	24	21	30	23
YDR212W	IV	887232	888911	+	1680	4437	6533	5414	5266	4149	4415
YDR476C	IV	1410453	1411127	-	675	2852	4827	976	1068	1820	862
YDL131W	IV	227393	228715	+	1323	1397	1397	1677	1605	1373	1555
YDR458C	IV	1380055	1382046	-	1992	1205	696	736	954	1136	727
YDR081C	IV	607304	610081	-	2778	827	622	737	951	746	803
YDL071C	IV	330666	331040	-	375	30	25	37	42	32	30
YDR113C	IV	680496	681617	-	1122	411	540	233	328	370	252
YDR168W	IV	790328	791848	+	1521	2293	1915	914	1147	2504	1174
YDR520C	IV	1481085	1483403	-	2319	411	345	391	491	355	417
YDR307W	IV	1075865	1077853	+	1989	1930	1926	1085	958	1411	1044
YDR265W	IV	998864	999877	+	1014	823	1074	283	339	695	296
YDL076C	IV	320668	321552	-	885	963	1025	511	576	892	482
YDL006W	IV	439909	440754	+	846	1100	1433	539	618	1113	523
YDL086W	IV	301413	302234	+	822	803	784	420	441	660	414
YDR238C	IV	937895	940816	-	2922	5534	6566	6023	5931	5045	5678
YDR077W	IV	600793	601809	+	1017	35283	62129	25683	20104	32249	23450
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	216	245	77	151	246	106
YDL023C	IV	411761	412081	-	321	3	5	0	3	5	4
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	2088	1273	24602	25755	3092	23381
YDR036C	IV	523211	524713	-	1503	1986	2677	1051	1049	1724	911
YDR057W	IV	565927	567555	+	1629	866	936	577	624	885	574
